N° Commande,Statut,Opérateur,Client,Téléphone,Adresse,Ville,Produit,Quantité,Prix,Date Création,Motifs,Modification
YCN-000001,Non affectée,Vente,Brahim Bennani,07-79-49-92-81,N/A,مكناس,SDL HOM YZ740 - 44/marron / بني,1,345,2025-01-20 22:22:32,,
YCN-000002,Non affectée,,Rajae Amrani,06-58-90-41-99,N/A,Marrakech,CHAUSS FEM YZ 244 - 40/أزرق / bleu,1,249,2025-05-12 18:33:40,,
YCN-000003,Non affectée,,Samira Benali,06-83-49-80-20,N/A,الجديدة,SDL HOM YZ740 - 45/marron / بني,1,345,2023-07-02 09:36:01,,
SHP-000004,Non affectée,Vente,Noureddine Idrissi,06-39-37-47-77,N/A,Taza,CHAUSS FEM YZ 248 - 41/Bleu / bleu,1,259,2024-05-19 22:34:30,,
YCN-000005,Non affectée,,Rajae Amrani,07-28-64-53-16,N/A,الرباط,CHAUSS FEM YZ 248 - 38/Vert / vert,1,259,2024-06-20 19:04:54,,
YCN-000006,Non affectée,,Ismail Amrani,07-22-93-54-43,N/A,الجديدة,ESP HOM YZ650 - 40/الأزرق / bleu,1,299,2023-12-04 14:00:37,,
YCN-000007,Non affectée,,Naima Idrissi,06-69-77-62-38,33 Rue Omar Ibn Khattab,أگادير,ESP HOM YZ650 - 44/الرمادي / gris,1,299,2024-09-05 19:02:38,,
YCN-000008,Non affectée,,Ismail Amrani,07-14-35-42-56,N/A,Tétouan,CHAUSS HOM YZ 303 - 42/Marron / marron,1,289,2025-06-03 21:19:06,,
YCN-000009,Non affectée,,نادية الإدريسي,07-96-74-74-21,N/A,El Jadida,CHAUSS FEM YZ 248 - 39/Vert / vert,1,259,2023-01-03 13:21:19,,
YCN-000010,Doublon,,عمر Lahlou,06-91-34-99-38,N/A,مراكش,CHAUSS HOM YZ 303 - 43/Noir / noir,1,289,2023-10-11 16:34:51,YCN-000007 (L167),
YCN-000011,Non affectée,,خديجة بن علي,07-45-24-39-90,N/A,Oujda,CHAUSS HOM YZ 303 - 40/Marron / marron,1,289,2023-10-12 11:39:31,,
YCN-000012,Non affectée,Op3,نادية الإدريسي,07-29-56-49-89,N/A,فاس,CHAUSS FEM YZ 248 - 39/Rouge / rouge,1,259,2024-03-23 10:26:16,,
YCN-000013,Non affectée,Vente,Aicha El Fassi,06-65-72-18-92,N/A,تازة,CHAUSS HOM YZ 303 - 42/Noir / noir,1,289,2024-04-17 14:47:16,,
YCN-000014,Non affectée,,Ikram Chafik,07-86-85-49-67,N/A,Oujda,ESP HOM YZ650 - 42/الأزرق / bleu,1,299,2025-03-27 18:54:03,,
YCN-000015,Non affectée,,Mohamed Chafik,06-16-59-42-40,N/A,Casablanca,ESP HOM YZ650 - 41/الأزرق / bleu,1,299,2023-07-19 10:32:18,,
YCN-000016,Non affectée,,Rajae Alaoui,07-49-38-39-15,N/A,Khemisset,CHAUSS FEM YZ 244 - 40/أحمر / rouge,1,249,2024-09-20 13:29:56,,
YCN-000017,Non affectée,,نعيمة العمراني,06-23-25-74-78,7 Rue El Harouchi,أگادير,SDL HOM YZ740 - 45/marron / بني,1,345,2024-09-30 20:15:23,,
SHP-000018,Doublon,,رضوان Bouziane,07-68-77-55-23,N/A,Oujda,SDL HOM YZ740 - 41/noir / أسود,1,345,2024-10-31 12:23:32,YCN-000005 (L349),
YCN-000019,Doublon,,Lahcen Chafik,06-88-64-84-39,N/A,تطوان,CHAUSS FEM YZ 248 - 39/Vert / vert,1,259,2023-12-17 22:17:18,YCN-000010 (L124),
SHP-000020,Non affectée,Op3,إبراهيم Touhami,06-18-56-91-85,N/A,بني ملال,CHAUSS FEM YZ 249 - 37/Bleu / bleu,1,249,2023-05-06 17:41:50,,
YCN-000021,Non affectée,,Houda Benali,06-85-16-17-18,N/A,Beni Mellal,CHAUSS FEM YZ 244 - 41/أحمر / rouge,1,249,2025-04-12 18:17:55,,
YCN-000022,Non affectée,,Hassan Amrani,07-60-87-30-91,N/A,فاس,CHAUSS FEM YZ 248 - 37/Bleu / bleu,1,259,2024-02-19 16:33:49,,
YCN-000023,Non affectée,,Omar Bennani,06-83-71-89-91,N/A,Settat,CHAUSS HOM YZ 304 - 45/Marron / marron,1,279,2024-07-29 10:39:51,,
SHP-000024,Non affectée,,مليكة Bouziane,07-58-20-86-31,N/A,Safi,CHAUSS HOM YZ 303 - 44/Noir / noir,1,289,2023-12-20 15:29:04,,
YCN-000025,Non affectée,,أحمد العمراني,07-24-18-39-37,7 Rue El Harouchi,الدار البيضاء,CHAUSS HOM YZ 304 - 44/Marron / marron,1,279,2025-03-16 22:08:55,,
YCN-000026,Non affectée,Op1,Malika El Fassi,07-37-20-90-35,N/A,Fès,CHAUSS HOM YZ 303 - 40/Marron / marron,1,289,2025-05-17 13:26:57,,
YCN-000027,Doublon,,Redouane Benali,07-54-89-69-46,33 Rue Omar Ibn Khattab,الجديدة,CHAUSS HOM YZ 304 - 44/Noir / noir,1,279,2024-12-24 12:37:27,YCN-000009 (L391),
SHP-000028,Non affectée,,مليكة Essabri,06-17-52-76-49,N/A,مراكش,ESP HOM YZ650 - 43/الرمادي / gris,1,299,2025-04-12 09:18:20,,
YCN-000029,Non affectée,Op1,زينب الشافعي,07-96-18-65-56,"Rés. Al Amal 2, App 5",مكناس,CHAUSS FEM YZ 244 - 38/أحمر / rouge,1,249,2024-01-24 17:44:45,,
SHP-000030,Non affectée,,Ahmed Amrani,07-54-64-60-93,N/A,آسفي,CHAUSS HOM YZ 304 - 41/Marron / marron,1,279,2023-09-10 13:21:46,,
SHP-000031,Non affectée,,Lahcen Benali,07-46-99-29-44,N/A,Khemisset,ESP HOM YZ650 - 41/الرمادي / gris,1,299,2023-04-09 12:28:04,,
YCN-000032,Non affectée,,Layla Chafik,07-89-77-59-52,N/A,Settat,CHAUSS HOM YZ 304 - 42/Marron / marron,1,279,2025-01-11 13:27:07,,
YCN-000033,Non affectée,,Fatima Idrissi,06-65-88-37-26,N/A,الجديدة,SDL HOM YZ740 - 41/noir / أسود,1,345,2023-03-14 22:10:00,,
YCN-000034,Non affectée,,Hassan Tazi,07-77-32-37-94,N/A,Meknès,CHAUSS FEM YZ 248 - 39/Rouge / rouge,1,259,2025-04-05 18:03:54,,
YCN-000035,Doublon,Op1,نادية Touhami,06-74-54-69-49,N/A,Errachidia,CHAUSS FEM YZ 249 - 38/Bleu / bleu,1,249,2024-10-31 16:45:06,YCN-000025 (L115),
YCN-000036,Non affectée,Op3,Mustapha Alaoui,07-69-97-94-57,N/A,فاس,CHAUSS HOM YZ 303 - 43/Noir / noir,1,289,2023-04-23 12:46:21,,
YCN-000037,Non affectée,,Brahim Bennani,06-11-97-79-76,N/A,Khouribga,CHAUSS HOM YZ 304 - 44/Noir / noir,1,279,2023-11-19 16:15:39,,
YCN-000038,Non affectée,,Souad Idrissi,07-18-69-35-23,12 Rue Al Qods,Rabat,ESP HOM YZ650 - 44/الرمادي / gris,1,299,2025-02-13 16:36:20,,
SHP-000039,Non affectée,,Omar El Fassi,07-50-60-85-89,N/A,الدار البيضاء,CHAUSS FEM YZ 248 - 40/Vert / vert,1,259,2024-11-30 09:17:20,,
YCN-000040,Non affectée,,Mustapha Chafik,07-85-81-94-80,7 Rue El Harouchi,تطوان,CHAUSS HOM YZ 303 - 41/Marron / marron,1,289,2025-03-12 09:20:21,,
YCN-000041,Non affectée,,Khadija Chafik,07-51-75-57-98,21 Rue Moulay Ismail,Tétouan,CHAUSS FEM YZ 248 - 38/Rouge / rouge,1,259,2025-01-06 15:32:47,,
YCN-000042,Doublon,,عائشة Zahidi,07-54-40-75-71,5 Lot Ennakhil,مراكش,CHAUSS FEM YZ 244 - 38/أسود / noir,1,249,2023-03-28 09:10:16,YCN-000038 (L344),
SHP-000043,Non affectée,,نعيمة الفاسي,06-32-11-45-36,N/A,Settat,CHAUSS HOM YZ 304 - 42/Marron / marron,1,279,2023-12-02 08:08:08,,
YCN-000044,Non affectée,,Ikram Idrissi,07-81-94-88-59,N/A,الرباط,CHAUSS FEM YZ 247 - 39/Rouge / rouge,1,239,2024-03-11 18:01:13,,
YCN-000045,Non affectée,,Mustapha Bennani,07-55-61-24-10,"Rés. Al Amal 2, App 5",Errachidia,CHAUSS HOM YZ 304 - 43/Marron / marron,1,279,2024-12-23 19:56:08,,
YCN-000046,Non affectée,,Ismail El Fassi,06-97-17-13-78,N/A,الرباط,CHAUSS FEM YZ 247 - 39/Noir / noir,1,239,2023-03-28 21:41:55,,
YCN-000047,Non affectée,,Malika Alaoui,07-72-30-14-67,8 Rue Al Massira,تطوان,CHAUSS FEM YZ 244 - 39/أسود / noir,1,249,2024-12-09 12:19:24,,
YCN-000048,Non affectée,,Redouane Alaoui,07-10-73-73-84,N/A,Guercif,CHAUSS FEM YZ 247 - 37/Noir / noir,1,239,2023-07-23 20:00:46,,
YCN-000049,Non affectée,,Ikram El Fassi,07-74-74-77-46,N/A,Taza,CHAUSS FEM YZ 247 - 37/Noir / noir,1,239,2023-03-10 11:03:16,,
YCN-000050,Non affectée,,Malika Amrani,06-43-91-98-62,N/A,Khemisset,CHAUSS FEM YZ 249 - 39/Rose / rose,1,249,2024-06-24 18:33:58,,
YCN-000051,Non affectée,,Latifa El Fassi,06-27-41-74-24,12 Rue Al Qods,Errachidia,CHAUSS HOM YZ 303 - 41/Noir / noir,1,289,2025-05-20 17:00:06,,
